Build,Tag,PublicCommit
Build 01,v1.0.1,19d45da5e40a49483bf3426674e4b19e35026939
Build 02,v1.0.2,9227c448d1947063d73f2a99cf29b90ac1ecd4fd
Build 03,v1.0.3,3122330dc62696868180b59ff6388a9af17ae773
Build 04,v1.0.4,22bf65ca1427d492193a9fdad8e2022155a18ae1
Build 05,v1.0.5,fc08010f8c7806eeb688149e068a3af6c4809acd
Build 06,v1.0.6,5be94ed256e43fda752558febe255b667045f7eb
Build 07,v1.0.7,8bba42c8c0179f144883636a19cef7e50b28ec43
Build 08,v1.0.8,05108f56f865a77db4209b605ef2b8180606a297
Build 09,v1.0.9,bced9381e9a098f1d79323de162f321f3ab27a06
Build 10,v1.0.10,a9bdbb28b2937ac8b2577b2d89f9262150adac10
Build 11,v1.0.11,37ad83ee6593238f57ba4dd72473116455347013
Build 12,v1.0.12,78dbaa8c081a3a01239bbdbb8be51cfa62c9c8e2
Build 13,v1.0.13,96be9e7dd275a54059b46616b4fd8ee1de7f7bbf
Build 14,v1.0.14,05441ea71ef7841726c213c32cb73e260e0f44af
Build 15,v1.0.15,b51117378bba09e6696a40967821e8143f15c440
Build 16,v1.0.16,a66a026170cc291db0b9e1b0acc9d0bacd5ad9fe
Build 17,v1.0.17,ffc7c6d4dd1aadb116dcfa71c2d387381bdaee26
Build 18,v1.0.18,19e1f26d7e65639e0ec90fc6cbeda79ffc89ee9b
Build 19,v1.0.19,f6ab68ad549205b7ac9703f2042e56153acab362
Build 20,v1.0.20,d37b833050aa9f1e78ed359b9bad64253ca6ab11
Build 21,v1.0.21,1d80953a2828f09b64bcb664226eddb2d574fbc7
Build 22,v1.0.22,SELF
